Variable name	Character of variable	Description of variable	Values	Additional comments
subject_ID	integer	volunteer number that took part in the experiment	 1 : 30	
activity	character	performed activity during the experiment	"WALKING
WALKING_UPSTAIRS
WALKING_DOWNSTAIRS
SITTING
STANDING
LAYING"	
activity_ID	integer	id of the activity	 1: 6	
tBodyAcc_mean_X	numerical	Average mean of body time signals from accelerometer obtained during particular activity [X axis]	"[-1;1]"	normalised values - no units of measurement
tBodyAcc_mean_Y	numerical	Average mean of body time signals from accelerometer obtained during particular activity [Y axis]	"[-1;1]"	normalised values - no units of measurement
tBodyAcc_mean_Z	numerical	Average mean of body time signals from accelerometer obtained during particular activity [Z axis]	"[-1;1]"	normalised values - no units of measurement
tBodyAcc_std_X	numerical	Average standard deviation of body time signals from accelerometer obtained during particular activity [X axis]	"[-1;1]"	normalised values - no units of measurement
tBodyAcc_std_Y	numerical	Average standard deviation of body time signals from accelerometer obtained during particular activity [Y axis]	"[-1;1]"	normalised values - no units of measurement
tBodyAcc_std_Z	numerical	Average standard deviation of body time signals from accelerometer obtained during particular activity [Z axis]	"[-1;1]"	normalised values - no units of measurement
tGravityAcc_mean_X	numerical	Average mean of gravity time signals from accelerometer obtained during particular activity [X axis]	"[-1;1]"	normalised values - no units of measurement
tGravityAcc_mean_Y	numerical	Average mean of gravity time signals from accelerometer obtained during particular activity [Y axis]	"[-1;1]"	normalised values - no units of measurement
tGravityAcc_mean_Z	numerical	Average mean of gravity time signals from accelerometer obtained during particular activity [Z axis]	"[-1;1]"	normalised values - no units of measurement
tGravityAcc_std_X	numerical	Average standard deviation of gravity time signals from accelerometer obtained during particular activity [X axis]	"[-1;1]"	normalised values - no units of measurement
tGravityAcc_std_Y	numerical	Average standard deviation of gravity time signals from accelerometer obtained during particular activity [Y axis]	"[-1;1]"	normalised values - no units of measurement
tGravityAcc_std_Z	numerical	Average standard deviation of gravity time signals from accelerometer obtained during particular activity [Z axis]	"[-1;1]"	normalised values - no units of measurement
tBodyAccJerk_mean_X	numerical	Average mean of body linear signals from accelerometer derived in time to  Jerk signals obtained during particular activity [X axis]	"[-1;1]"	normalised values - no units of measurement
tBodyAccJerk_mean_Y	numerical	Average mean of body linear signals from accelerometer derived in time to  Jerk signals obtained during particular activity [Y axis]	"[-1;1]"	normalised values - no units of measurement
tBodyAccJerk_mean_Z	numerical	Average mean of body linear signals from accelerometer derived in time to  Jerk signals obtained during particular activity [Z axis]	"[-1;1]"	normalised values - no units of measurement
tBodyAccJerk_std_X	numerical	Average standard deviation of body linear signals from accelerometer derived in time to  Jerk signals obtained during particular activity [X axis]	"[-1;1]"	normalised values - no units of measurement
tBodyAccJerk_std_Y	numerical	Average standard deviation of body linear signals from accelerometer derived in time to  Jerk signals obtained during particular activity [Y axis]	"[-1;1]"	normalised values - no units of measurement
